Country Name,GDP_per_capita,Suicide_rate,HDI_2023,GDP_per_capita_coverage,Suicide_rate_coverage,Low_data_quality_flag,HDI_sq,log_GDP_per_capita,HDI_2023_lag1,GDP_per_capita_lag1,Suicide_rate_lag1,income_group_auto,ISO3,continent,coverage_frac
"Micronesia, Fed. Sts.",2972.5376331440066,19.965000000000003,0.615,1.0,0.8,✅ Sufficient data,0.378225,7.9971712889201205,,,,Lower-Middle,FSM,Oceania,1.0
Moldova,3439.142497948459,12.8775,0.785,1.0,0.8,✅ Sufficient data,0.616225,8.14297744544136,,,,Lower-Middle,MDA,Europe,1.0
Mongolia,4171.425745095138,17.955,0.747,1.0,0.8,✅ Sufficient data,0.558009,8.336013161655144,,,,Lower-Middle,MNG,Asia,1.0
Montenegro,7309.762943425875,13.545000000000002,0.862,1.0,0.8,✅ Sufficient data,0.7430439999999999,8.896966123138082,,,,Upper-Middle,MNE,Europe,1.0
Morocco,3279.0074218750024,3.0700000000000003,0.71,1.0,0.8,✅ Sufficient data,0.5041,8.095296040298933,,,,Lower-Middle,MAR,Africa,1.0
Mozambique,602.8743716679104,11.3625,0.493,1.0,0.8,✅ Sufficient data,0.243049,6.4017088361624435,,,,Low,MOZ,Africa,1.0
Myanmar,1283.12693970283,2.9725,0.609,1.0,0.8,✅ Sufficient data,0.37088099999999996,7.157055299474212,,,,Low,MMR,Asia,1.0
Namibia,4029.2852894434254,8.3825,0.665,1.0,0.8,✅ Sufficient data,0.44222500000000003,8.301344291680147,,,,Lower-Middle,NAM,Africa,1.0
Nauru,7858.276506398576,9.32875,0.703,1.0,0.0,⚠️ Low data reliability,0.49420899999999995,8.969322587384102,,,,Upper-Middle,NRU,Oceania,1.0
Nepal,1061.3825082672925,10.275,0.622,1.0,0.8,✅ Sufficient data,0.386884,6.967327590389234,,,,Low,NPL,Asia,1.0
Netherlands,49272.40269805232,11.2225,0.955,1.0,0.8,✅ Sufficient data,0.912025,10.805119420292815,,,,High,NLD,Europe,1.0
New Zealand,40922.8800386683,11.7025,0.938,1.0,0.8,✅ Sufficient data,0.8798439999999998,10.6194445997655,,,,High,NZL,Oceania,1.0
Nicaragua,2076.2988859892075,4.452500000000001,0.706,1.0,0.8,✅ Sufficient data,0.49843599999999993,7.638342205979256,,,,Low,NIC,America,1.0
Niger,534.9976978934095,4.465,0.419,1.0,0.8,✅ Sufficient data,0.175561,6.282262443883775,,,,Low,NER,Africa,1.0
Nigeria,2394.489821892069,4.6,0.56,1.0,0.8,✅ Sufficient data,0.31360000000000005,7.780925469154323,,,,Lower-Middle,NGA,Africa,1.0
North Macedonia,5943.850990760692,5.367500000000001,0.815,1.0,0.8,✅ Sufficient data,0.664225,8.690112517234223,,,,Lower-Middle,MKD,Europe,1.0
Norway,77161.20312727,12.907499999999999,0.97,1.0,0.8,✅ Sufficient data,0.9409,11.253652059527314,,,,High,NOR,Europe,1.0
Oman,18237.386869402275,1.5425,0.858,1.0,0.8,✅ Sufficient data,0.7361639999999999,9.811228989626182,,,,Upper-Middle,OMN,Asia,1.0
Pakistan,1579.7658694509648,5.845,0.544,1.0,0.8,✅ Sufficient data,0.29593600000000003,7.3650319311489,,,,Low,PAK,Asia,1.0
Palau,13772.901846432684,4.3149999999999995,0.786,1.0,0.0,⚠️ Low data reliability,0.617796,9.530458306371404,,,,Upper-Middle,PLW,Oceania,1.0
Panama,14819.127191017444,2.785,0.839,1.0,0.8,✅ Sufficient data,0.7039209999999999,9.603674003122334,,,,Upper-Middle,PAN,America,1.0
Papua New Guinea,2475.047744327755,1.8900000000000001,0.576,1.0,0.8,✅ Sufficient data,0.33177599999999996,7.814014965454206,,,,Lower-Middle,PNG,Oceania,1.0
Paraguay,6240.655892818421,6.99,0.756,1.0,0.8,✅ Sufficient data,0.571536,8.738840566868289,,,,Lower-Middle,PRY,America,1.0
Peru,6453.319919053656,1.7575,0.794,1.0,0.8,✅ Sufficient data,0.6304360000000001,8.772349993501257,,,,Lower-Middle,PER,America,1.0
Philippines,3422.8324661369284,3.3275,0.72,1.0,0.8,✅ Sufficient data,0.5184,8.138223693755702,,,,Lower-Middle,PHL,Asia,1.0
Poland,15706.977169259615,13.680000000000001,0.906,1.0,0.8,✅ Sufficient data,0.820836,9.661860298302765,,,,Upper-Middle,POL,Europe,1.0
Portugal,21027.24863570387,12.0225,0.89,1.0,0.8,✅ Sufficient data,0.7921,9.9535744296909,,,,High,PRT,Europe,1.0
Qatar,63083.00402977847,6.055,0.886,1.0,0.8,✅ Sufficient data,0.784996,11.052206662482348,,,,High,QAT,Asia,1.0
Romania,11339.530425486106,9.6875,0.845,1.0,0.8,✅ Sufficient data,0.7140249999999999,9.336050167737087,,,,Upper-Middle,ROU,Europe,1.0
Russian Federation,9907.903515625,23.1875,0.832,1.0,0.8,✅ Sufficient data,0.692224,9.201088052534484,,,,Upper-Middle,RUS,Europe,1.0
Rwanda,872.6588254981394,8.245,0.578,1.0,0.8,✅ Sufficient data,0.33408399999999994,6.771544672465118,,,,Low,RWA,Africa,1.0
Samoa,4145.3005715089985,12.4625,0.708,1.0,0.8,✅ Sufficient data,0.5012639999999999,8.329730579176553,,,,Lower-Middle,WSM,Oceania,1.0
San Marino,44992.49131223336,6.65625,0.915,1.0,0.0,⚠️ Low data reliability,0.8372250000000001,10.714250895101676,,,,High,SMR,Europe,1.0
Sao Tome and Principe,1419.3730180727641,0.85,0.637,1.0,0.8,✅ Sufficient data,0.405769,7.2579705165208575,,,,Low,STP,Africa,1.0
Saudi Arabia,24751.288768254984,1.05,0.9,1.0,0.8,✅ Sufficient data,0.81,10.116632838085811,,,,High,SAU,Asia,1.0
Senegal,1388.8469994169568,6.875,0.53,1.0,0.8,✅ Sufficient data,0.28090000000000004,7.236229185079547,,,,Low,SEN,Africa,1.0
Serbia,7113.776501452978,15.525,0.833,1.0,0.8,✅ Sufficient data,0.693889,8.869788535294752,,,,Upper-Middle,SRB,Europe,1.0
